Dataset,Code,Project,sha,owner,project,sha-p,sha-reg,sha-reg-p,reg
VULAS,CVE-2012-6153,https://github.com/apache/httpcomponents-client,6e14fc146a66e0f3eb362f45f95d1a58ee18886a,apache,httpcomponents-client,529541458b62a4ecada29e135968bb60ccc7dfcb,6f4a762197347ad71218caba105bf3d4c03e044a,50cb3a3d4ecdcfa81618c44727af1695ce621302,FOUND
VULAS,CVE-2013-0239,https://github.com/apache/cxf,295a4e2f9eb3e7e0513980202949ccc424dee2d4,apache,cxf,d315a7d5259c28e4babd4d5c061eade848958461,5e832944780870f3bf0539b1ee40f62fec493807,a3505225ee53bf7d25b25ac68687976f01347863,FOUND
VULAS,CVE-2013-1777,https://github.com/apache/geronimo,ee031c5e62b0d358250d06c2aa6722518579a6c5,apache,geronimo,67b5e07bf00e01e690e825ee5674666e85e7e204,50df3885d459ff7f8ee8e0fae2b54074b9af63bb,3b962adfaecbf0aa5f675071b15bc09ab33c9032,FOUND
VULAS,CVE-2013-1879,https://github.com/apache/activemq,148ca81dcd8f14cfe2ff37012fd1aa42518f02dc,apache,activemq,0d58477039f01617c3f1287eb20c118bfa5e0522,97ed8c028303d88fd4717f385c554e36616d5f3a,966658fdadb5bca08acacaff23d910eb605a7c90,FOUND
VULAS,CVE-2013-1880,https://github.com/apache/activemq,fafd12dfd4f71336f8e32c090d40ed1445959b40,apache,activemq,148ca81dcd8f14cfe2ff37012fd1aa42518f02dc,32ddadc7abe714dd40a0603b53f5709c5eafcaa4,3ab1115e9f74d1cccd0bb4455afcb140b44ddfbd,FOUND
VULAS,CVE-2013-1965,https://github.com/apache/struts,7e6f641ebb142663cbd1653dc49bed725edf7f56,apache,struts,9fbb0d92b945151a36744808627d186c221ee375,42d24e190f4e6a13a8245a7a8d941e4e639e153a,16fade2857cc1ad8cd576ca4bb91457d4c7a2cb4,FOUND
VULAS,CVE-2013-2185,https://github.com/apache/tomcat,e246e5fc13307da0a5d3bbf860d64d97be1c40f8,apache,tomcat,a5f369ad9fb32ecf8430cc28c91eb9f4dab6af76,3d97fa88c5ac2f0044ee83f7019c29f6ff13c71f,e59cda643ee92784c0be6b55caca614a5b9b46fa,FOUND
VULAS,CVE-2013-2186,https://github.com/apache/commons-fileupload,163a6061fbc077d4b6e4787d26857c2baba495d1,apache,commons-fileupload,e685ae49df3ccb864493f51a14ddd884e86e7e03,b40d8ecb19d5e212735a1a1ed6916d68f03f1053,dfcb1667f6444b073bca06a11c7e06fb337ada6f,FOUND
VULAS,CVE-2013-2193,https://github.com/apache/hbase,408eb243ad51bbad593d83ad2cfd35cc0e90b38e,apache,hbase,1ec24ec1a72f6101f8f5e50f870a147abcbe4a24,950b318877e2a7a9d3ee5061e69b675521dbfa2f,003dcbc657af314e6991656b5ef4d87cc5de5266,FOUND
VULAS,CVE-2013-4310,https://github.com/apache/struts,0c8366cb792227d484b9ca13e537037dd0cb57dc,apache,struts,9a3d105c804a5641c659b6233de3c145d55a7f51,db96a28977d71332d653fe1968eea46edbcce2a2,7cd454ac96e69fe7b3532460ac7fe7d9128cce8b,FOUND
VULAS,CVE-2013-4316,https://github.com/apache/struts,58947c3f85ae641c1a476316a2888e53605948d1,apache,struts,52feec5b14009e2cf46edd6185e7be48bbb26e41,7e4d1b45ea9d349d22a9995dd38c8a21f0321ef0,4727265e59a683df346e90fece6e0aca77e4c839,FOUND
VULAS,CVE-2013-6408,https://github.com/apache/lucene-solr,7239a57a51ea0f4d05dd330ce5e15e4f72f72747,apache,lucene-solr,fecb6fb0a2c197d008adaa4ca44c8780231c7981,74471833e62c074b87ad41908ca7f6bffbee9fc8,7c35e206ced4f202b10079b3d2574ab3ecf665ca,FOUND
VULAS,CVE-2014-0034,https://github.com/apache/cxf,b4b9a010bb23059251400455afabddee15b46127,apache,cxf,f9b4939d483b43eb72ad165f995e763ce6bc34d8,1feb5a7811be010c92ae73477d35f1830212cff7,58f2f57e72f50d8abfce6e0aae95d1c09d0fb038,FOUND
VULAS,CVE-2014-0035,https://github.com/apache/cxf,5df3f72f1a26b7c9ac2888ab65e41f4105706580,apache,cxf,0c77f4ff91451c0bf73ebe1103e99583cc26d786,e50e87ddb80061749d3c306d8d511de72e4e5e77,7757436e5e5460d4429e29f21e141833eed724f0,FOUND
VULAS,CVE-2014-0050,https://github.com/apache/commons-fileupload,c61ff05b3241cb14d989b67209e57aa71540417a,apache,commons-fileupload,401ba23732e9ae96c3e4797eb624d357cb9ae2d0,986ab780d7c60b6df53c5b9706c4ca6cdb5f64ca,228eccef50ece9827f2aad9f4e5ed5d54432d439,FOUND
VULAS,CVE-2014-0074,https://github.com/apache/shiro,9137e6cc45922b529fb776c6857647a3935471bb,apache,shiro,0140fab53d2b2d620e7c9dda2e7688c5d5e7e94e,9447d20d105a788add0235cff8c3ec4cf0b0f851,caff40dbd4bdc51f551cf2a4d34a8cdd1fa5d684,FOUND
