,owner_sec,project_sec,sha_sec,sha-p_sec,main(sha)_sec,main(sha-p)_sec,main(diff)_sec,owner_reg,project_reg,sha_reg,sha-p_reg,main(sha)_reg,main(sha-p)_reg,main(diff)_reg,pattern,language
39,nextcloud,server,8a7d450fb5c80477e4414cfdf86b4737905cb8f3,5c718b13b8c68fc89661edbdbd40822bb55f544a,54565.14176063122,54536.47836733087,28.663393300346797,nextcloud,server,0da06187f6b1006db67b5d34281fd51a56054d21,5c718b13b8c68fc89661edbdbd40822bb55f544a,1007.9927481452648,54536.47836733087,-53528.48561918561,csrf,php
40,mantisbt,mantisbt,517cd271cc72b5ed258dd95d70dc42f8602338d9,d9db796f8973696bb606dc03ce42857f6d160d78,-79273.0544428574,-79274.92517147254,1.8707286151329754,mantisbt,mantisbt,3d685a6059f93e14af00ee0609cc7659eee7afa3,d9db796f8973696bb606dc03ce42857f6d160d78,-45047.67637182904,-79274.92517147254,34227.2487996435,iap,php
41,cloudius-systems,osv,ed989d43b3198d80d75f442030070413cdfb5aaa,aff328352803b19294b4f8300bd0e20f0e1ba6b6,-1038348.2655661337,-1038252.4947822784,-95.77078385523055,cloudius-systems,osv,fb6887e8579c2609a61687dd0c63375cb7aa57c3,aff328352803b19294b4f8300bd0e20f0e1ba6b6,-364.05765655950864,-1038252.4947822784,1037888.4371257189,injec,python
42,curl,curl,1343756742463488c63453723b2bfe002e45c47f,ec9fa4f6b372e4e77fa741788e37a820bfa2ffc2,-52174.35817004784,-52175.2525838896,0.8944138417646172,curl,curl,56bc31e9f9082e404ef813fb5a670f1f743b081d,ec9fa4f6b372e4e77fa741788e37a820bfa2ffc2,-19140.62190802735,-52175.2525838896,33034.63067586225,ml,c
43,Graylog2,graylog2-server,e572b56aa6c45a4a3f1d26fbed9e11dcbe3b58cc,f1ab40d91f12dc9b1a50d633a21c5cd67c7aca36,2201.7463041848328,2201.642220165918,0.10408401891481844,Graylog2,graylog2-server,442dba8fff106c8daca5539f029485e67ac08bdf,f1ab40d91f12dc9b1a50d633a21c5cd67c7aca36,15939.946607304011,2201.642220165918,13738.304387138094,upapi,ruby
44,pfsense,pfsense,3bdc7f5908ad19af2fc31b873cd07eadeb801bd5,dd34d7d239d823921237c4408559e674f5f0c292,-142659.43512848773,-142659.6811934772,0.24606498947832733,pfsense,pfsense,378f989cdc07a61bc1a8c2964c249922a416f51c,dd34d7d239d823921237c4408559e674f5f0c292,-123923.13210119931,-142659.6811934772,18736.5490922779,xss,php
45,mantisbt,mantisbt,70b5022f556c9b9b6b0cd661e3357767a3b178c5,60a4d24a794a81e98dc044ce42a9e4b8fa754111,-77031.11357080814,-77044.8311989703,13.717628162165056,mantisbt,mantisbt,df0055378c7dbe5f3c099f91043705b3d00ac84c,60a4d24a794a81e98dc044ce42a9e4b8fa754111,-45442.378006942105,-77044.8311989703,31602.453192028202,xss,php
46,josh,rails,b16e0c922344da256ab977fd5e7a7f69e0be90fc,9a73630d935e360f3dc896e50dd673afb97cf3b5,8874.098072576497,8874.098072576497,0.0,josh,rails,88b17d22c836b948bfd580cbb2da590ea10a658c,9a73630d935e360f3dc896e50dd673afb97cf3b5,18195.396315079677,8874.098072576497,9321.29824250318,xss,ruby
47,mantisbt,mantisbt,7c8a564c5b0d29cf2345adb0593477069466b10b,fe9da540f09fe4d3473a302446c4a1ea11ebf103,-82185.54198281586,-82183.73841138728,-1.803571428579744,mantisbt,mantisbt,dca6b33a95d8bb610a1585bba5605164f8460f0c,fe9da540f09fe4d3473a302446c4a1ea11ebf103,-79386.49965583114,-82183.73841138728,2797.2387555561436,xss,php
48,josh,rails,5e6dab8b34152bc48c89032d20e5bda1511e28fb,bd97c3044a7b135f5b84f38c3dbdce2ccc793f70,8855.141134980764,8853.31841248899,1.8227224917736748,josh,rails,d200d080041bc4cefba8a8d39943b233ee2630a0,bd97c3044a7b135f5b84f38c3dbdce2ccc793f70,9813.450053615274,8853.31841248899,960.1316411262833,misc,ruby
49,cloudius-systems,osv,fd905d5cf9139bac289fdd9551c56ca538f57f6f,6e438d21fe85ad73c6d9f4b3eae11e39a8d87643,-1109236.9511582674,-1108813.7352764357,-423.21588183171116,cloudius-systems,osv,6f464e76cf5dd2c3fbb6b7ea84d00e21ee88cdbf,6e438d21fe85ad73c6d9f4b3eae11e39a8d87643,-87500.19177188937,-1108813.7352764357,1021313.5435045464,dos,c++
50,dlitz,pycrypto,80252248ab1ac8599b946e026dd8895146977903,abd276c5fa31abf0b1d70ca4624e30cdacaee867,4675.480864679634,4675.480864679634,0.0,dlitz,pycrypto,1b309c67633759a5449cbdb38d18f86c861b53c6,abd276c5fa31abf0b1d70ca4624e30cdacaee867,4923.717457519282,4675.480864679634,248.23659283964844,misc,c
51,php,php-src,0d2f147d80bd02d4d1ccaa0fa530d9d4846b3c75,3e88d610e54dac75a374af9e8501f02da67e4466,-7468990.73278708,-7468903.799862105,-86.93292497470975,php,php-src,3b24a795a6a1f603f8616914efe9099de46639e2,3e88d610e54dac75a374af9e8501f02da67e4466,-3752370.0524312896,-7468903.799862105,3716533.747430816,sde,c
54,mantisbt,mantisbt,7cc4539fca65a61c48a40e31787e7d4751a7f9bd,75c87e679a3f7f9195c62d92cf02a64d80fc5288,-53134.28235965825,-53131.11571680691,-3.1666428513417486,mantisbt,mantisbt,1f515b3ac3f02e08bc8c0993d24dbab5da416a0f,75c87e679a3f7f9195c62d92cf02a64d80fc5288,-82657.41812958384,-53131.11571680691,-29526.302412776924,injec,php
55,spring-projects,spring-security-oauth,e703d747af332746895a02f75045c68255395c5c,0da337aef2979db848bc2e091a2b2a206412c62c,3649.055870912755,3659.5351498598084,-10.479278947053444,spring-projects,spring-security-oauth,be0f0768f98d27205140d29a962ba83d6cd7a3fc,0da337aef2979db848bc2e091a2b2a206412c62c,4853.434946539857,3659.5351498598084,1193.899796680049,auth,java
56,WordPress,WordPress,ec1ca2236fc693ada675688d7e9ae19bd7d7a49f,19848b9d90b63469d3c70b7e79400d10795601d0,-34542.81279220843,-34502.16770163328,-40.64509057514806,WordPress,WordPress,3dce6ba3fec2fde526c1de5957b85cf4fcf168d9,19848b9d90b63469d3c70b7e79400d10795601d0,-50584.44944303172,-34502.16770163328,-16082.281741398438,xss,php
58,curl,curl,db1a856b4f7cf6ae334fb0656b26a18eea317000,ee57e9dea63c3706c3679ff77426680bc1a327bf,-44279.22706464911,-44277.69436270946,-1.5327019396499963,curl,curl,630995f40a799b6fbd7ae9cb063ea021c701e91d,ee57e9dea63c3706c3679ff77426680bc1a327bf,-18929.460931247624,-44277.69436270946,25348.233431461835,misc,c
59,Graylog2,graylog2-server,8fc8dc4e2f3a6b499a1c18051628268a606d7f07,4dd9c321314c10c5427888a145b242da8ac0c08d,15152.76677128187,15145.801163020098,6.9656082617711945,Graylog2,graylog2-server,ba47e7e4035345183cbd997ff16e4b525f5f453e,4dd9c321314c10c5427888a145b242da8ac0c08d,26914.912399030214,15145.801163020098,11769.111236010116,xss,javascript
60,mantisbt,mantisbt,7086c2d8b4b20ac14013b36761ac04f0abf21a4e,b66af6d2ed9883c04e71ef132a3b36837f91fc62,-45313.14004393359,-45303.989040416374,-9.15100351721776,mantisbt,mantisbt,cad2b3303b5abf40f126b91568d1d0c17613c9b5,b66af6d2ed9883c04e71ef132a3b36837f91fc62,-46547.109449095275,-45303.989040416374,-1243.1204086789003,xss,php
61,unbit,uwsgi,0cb2e6852bcee02484dea06b2c5e9c8f6cbb3138,a559e9ea631afa9331cba77d3f1634611a6aa4ab,-32541.441487858705,-32540.404810714594,-1.0366771441113087,unbit,uwsgi,856fd8b00fd81de165f9c84596ac7b5fa6e5070b,a559e9ea631afa9331cba77d3f1634611a6aa4ab,-6598.406365375578,-32540.404810714594,25941.998445339013,rl,c
62,osTicket,osTicket,cda62e2d24ad7e4b165c88df8fcc85e1ef695ac2,ecb9178f24f5dd1ddbba06776d0f583a42ba2998,-12743.591964309215,-12745.383677894026,1.7917135848110775,osTicket,osTicket,c74f66416a391aa2a6368c025b14aeaba730339e,ecb9178f24f5dd1ddbba06776d0f583a42ba2998,-12670.773995929918,-12745.383677894026,74.60968196410795,csrf,php
65,mongodb,mongo-php-driver-legacy,43109ef9157de31e7056ddf1dc5cbd74cc173230,3705a32fcb655d728fee7dd358a0762e0531134d,-10354.372908215091,-10354.372908215091,0.0,mongodb,mongo-php-driver-legacy,8e66232375c5b23debb8171d2aae515fc2158b09,3705a32fcb655d728fee7dd358a0762e0531134d,511.7332640509308,-10354.372908215091,10866.106172266022,ml,c
66,mantisbt,mantisbt,e881dd79df422033bbea88914fc0a717fae40358,ecef0e9b523a460709e8feedfce72f05bb30b992,-42687.592201649095,-42687.592201649095,0.0,mantisbt,mantisbt,28e902c2bfff6a9719e51df532fcfba09465f352,ecef0e9b523a460709e8feedfce72f05bb30b992,-13022.336431030675,-42687.592201649095,29665.25577061842,xss,php
67,php,php-src,29a4e710de6a73341da3d268343fdfc072ba682a,94742054a845f483b4d59ac28fa65ee029dc3c92,-107259.2953700878,-107259.2953700878,0.0,php,php-src,e3d25e78eb73c7b7bce0cd175578f7ce32741c5f,94742054a845f483b4d59ac28fa65ee029dc3c92,-4859019.881715164,-107259.2953700878,-4751760.586345076,misc,c
68,php,php-src,4ffedc700dffa57b72ffda663f2a015e0f658451,4b14c11dcd4d27519b9c03d7acf638f9bface169,-97957.84337401026,-97958.09147402491,0.24810001465084497,php,php-src,b798b366c8debdcdf1071d97a428ac86a7470f18,4b14c11dcd4d27519b9c03d7acf638f9bface169,-3758578.098909116,-97958.09147402491,-3660620.007435091,sde,c
69,stevedekorte,io,604a92a52d1f1b7fae73b5a81320303ea0939e14,9f4ff16cf02dfe042fee26d7bee44942100a943e,7838.974938282964,7852.09070705847,-13.115768775505785,stevedekorte,io,9f00950fc102ac184c5da51fb8848e5f3414221f,9f4ff16cf02dfe042fee26d7bee44942100a943e,10897.516456971074,7852.09070705847,3045.4257499126043,ml,c
70,splitbrain,dokuwiki,d9e0d8dc6f6c9b9f18ce2e33041ae4fc23f77a4e,41c27d5a7c577979cacd974b3763904192487637,-14644.663696064545,-14644.663696064545,0.0,splitbrain,dokuwiki,8249bc69100c383d6c9413d922c671d6bd1c4c48,41c27d5a7c577979cacd974b3763904192487637,-1783.3979236801124,-14644.663696064545,12861.265772384431,xss,php
