owner,project,link,watchers,stars,forks,contributors,commits,branches,releases,language,size,o_issues,c_issues,t_issues,o_prs,c_prs,t_prs,license,target,domain,app,type,tags,g_tags
jokkedk,webgrind,https://github.com/jokkedk/webgrind,162,2623,333,24,236,2,14,PHP,315,25,90,115,2,46,48,BSD,PHP,Application software,Desktop,Debugger,debugger;php;ide;extension,
joomla,joomla-cms,https://github.com/joomla/joomla-cms,377,3038,2807,303,31645,6,220,PHP,247440,907,22462,23369,340,14829,15169,GPL-2.0,PHP,Application software,Web,Content Management Sys,,joomla;php;cms;content-management;php-cms;website-builder;multilingual-websites
josh,rails,https://github.com/josh/rails,1,31,5,386,49242,2,158,Ruby,117608,0,1,1,0,1,1,None,Ruby on Rails,Web libraries and frameworks,Web,Framework,web-applications;framework;database-backed;mvc,
jspahrsummers,libextobjc,https://github.com/jspahrsummers/libextobjc,168,4176,420,30,650,5,13,Objective-C,1601,28,113,141,5,57,62,Other,iOS,Non-web libraries and frameworks,Mobile,Library,cocoa;library;obj-c-extension;support-additional-patterns,
juozasg,catabuzz,https://github.com/juozasg/catabuzz,2,3,1,1,232,2,12,Ruby,2576,0,0,0,0,0,0,None,Undefined,Application software,Web,Platform,web-applications;courses-registration;san-jose-university,
kanboard,kanboard,https://github.com/kanboard/kanboard,325,3923,1122,239,3815,1,66,PHP,67814,130,3981,4111,3,1021,1024,MIT,Undefined,Application software,Web,PMS,,kanban;kanboard;agile;self-hosted;project-management
laravel,framework,https://github.com/laravel/framework,1047,15425,6133,413,22780,12,377,PHP,38090,84,26722,26806,7,15248,15255,MIT,PHP,Non-web libraries and frameworks,Web,Framework,,php;framework;laravel
libretro,RetroArch,https://github.com/libretro/RetroArch,223,2774,810,289,46617,17,75,C,189923,1042,6787,7829,21,4313,4334,GPL-3.0,Windows;Linux;Raspberry Pi;Xbox;Android;iOS;MacOS;PSVITA;PSP;PS;Switch;Wii;GameCube;Nintendo3DS;Web-browsers,System software,Cross-Platform,Emulator,cross-platform;libretro-front-end;audio-callbacks;video-callbacks;input-callbacks,libretro;c;retroarch
lxc,lxc,https://github.com/lxc/lxc,208,2403,755,298,8042,8,104,C,23121,141,2620,2761,4,1620,1624,LGPL-2.1,,System software,,Container,,c;lxc;containers
lxml,lxml,https://github.com/lxml/lxml,69,1355,329,94,5323,16,92,Python,23498,7,213,220,7,213,220,None,Python,Web libraries and frameworks,,Library,,
magicalpanda,MagicalRecord,https://github.com/magicalpanda/MagicalRecord,446,10780,1869,78,1021,11,37,Objective-C,8005,287,1052,1339,30,370,400,MIT,iOS,Software Tool,,Library,,
mantisbt,mantisbt,https://github.com/mantisbt/mantisbt,98,1016,538,98,11394,4,119,PHP,64343,54,1260,1314,54,1260,1314,None,,Application software,,Bug Tracker,,
mattpass,ICEcoder,https://github.com/mattpass/ICEcoder,117,1034,274,25,2282,1,69,PHP,5731,119,632,751,1,61,62,MIT,,Software Tool,Web,IDE,,
micahflee,onionshare,https://github.com/micahflee/onionshare,165,2699,342,71,2215,2,23,Python,9042,65,786,851,8,381,389,GPL-3.0,,Application software,Cross-Platform,File-Sharing,,
MISP,MISP,https://github.com/MISP/MISP,231,1746,552,123,10296,42,269,PHP,56256,1205,2766,3971,23,858,881,AGPL-3.0,,Application software,,Platform,,
mojombo,god,https://github.com/mojombo/god,102,2124,494,57,813,12,32,Ruby,2639,116,135,251,28,81,109,MIT,,System software,,Framework,,
mongodb,mongo-php-driver-legacy,https://github.com/mongodb/mongo-php-driver-legacy,102,1111,353,27,4671,6,92,PHP,10101,1,883,884,1,883,884,Apache-2.0,,Software Tool,,Driver,,
mozilla,kuma,https://github.com/mozilla/kuma,131,1363,644,262,15353,10,27,HTML,208063,12,5137,5149,11,5006,5017,MPL-2.0,,Application software,,Platform,,
MPOS,php-mpos,https://github.com/MPOS/php-mpos,231,1418,959,90,4049,4,11,PHP,13917,5,2761,2766,1,1034,1035,Apache-2.0,,Application software,Web,Miner,,
mpv-player,mpv,https://github.com/mpv-player/mpv,434,8940,1221,255,46692,59,73,C,89846,672,5701,6373,68,1647,1715,GPL-2.0,,Application software,,Multimedia,,
naver,pinpoint,https://github.com/naver/pinpoint,777,7803,2396,64,10160,8,25,Java,214130,120,4932,5052,18,3000,3018,Apache-2.0,,Application software,,Performance Manager,,
Netflix,SimianArmy,https://github.com/Netflix/SimianArmy,813,6922,1010,46,800,4,7,Java,15326,41,284,325,6,218,224,Apache-2.0,Cloud,Software Tool,Web,Toolkit,,
nextcloud,server,https://github.com/nextcloud/server,415,6177,1085,383,47425,109,461,PHP,352655,1780,11480,13260,101,6489,6590,AGPL-3.0,Storage,System software,Web,Server,,open-source;file-sharing;enterprise;sharing;collaboration;cloud;nextcloud;self-hosting;decentralized;federation;free-software;federated;distributed;owncloud;javascript;php;ux;design;usability;opensource
nginx,nginx-releases,https://github.com/nginx/nginx-releases,291,1578,826,1,388,20,449,C,90381,0,23,23,0,23,23,Other,HTTP,System software,Web,Server,web-server;reverse-proxy;load-balancer;mail-proxy;http-cache,
nicolaslopezj,searchable,https://github.com/nicolaslopezj/searchable,73,1458,180,42,175,2,52,PHP,108,83,102,185,0,67,67,MIT,Laravel,Web libraries and frameworks,Web,Package,,php;laravel;search;eloquent-models;prioritizing-matches
openssl,openssl,https://github.com/openssl/openssl,825,9050,4108,348,23229,20,297,C,163588,638,7304,7942,190,5096,5286,Apache-2.0,TLS/SSL,Software Tool,Web,Library,,cryptography;openssl;encryption;tls;ssl;decryption
openstack,nova,https://github.com/openstack/nova,467,2381,2195,323,53122,5,209,Python,930829,0,85,85,0,85,85,Apache-2.0,Cloud,System software,Web,API,,compute-starter-kit;api-server
osTicket,osTicket,https://github.com/osTicket/osTicket,252,1463,1033,75,5686,9,59,PHP,25607,1705,2873,4578,298,1312,1610,GPL-2.0,PHP,Application software,Web,Platform,ticket-support;e-mail;phone;web-based-forms,
owncloud,core,https://github.com/owncloud/core,508,6425,1888,371,39680,219,401,PHP,246799,1441,32529,33970,151,16063,16214,AGPL-3.0,Cloud,Application software,Web,Server,,owncloud;php;javascript;sharing;self-hosting;enterprise;file-sync;file-sharing;federated;platform
P0cL4bs,WiFi-Pumpkin,https://github.com/P0cL4bs/WiFi-Pumpkin,234,2239,524,9,287,9,15,Python,13478,4,431,435,0,33,33,GPL-3.0,Wi-Fi,Non-web libraries and frameworks,Desktop,Framework,,mitm;python;wireless;access-point;wifi;hacking;sniffing;man-in-the-middle
pfdemuizon,phoneinreport,https://github.com/pfdemuizon/phoneinreport,4,6,3,2,103,1,0,Ruby,10397,0,0,0,0,0,0,None,Networking,Application software,Web,Platform,radical-designs;non-profit-organizations;social-change-organizations;web-development,
pfsense,pfsense,https://github.com/pfsense/pfsense,239,1989,840,270,36157,17,45,PHP,296810,13,4005,4018,13,4005,4018,Apache-2.0,*,System software,Web,Firewall,,pfsense;firewall;freebsd
php,php-src,https://github.com/php/php-src,1503,21116,5160,216,109999,289,942,C,334982,164,3554,3718,164,3554,3718,PHP-3.0,PHP,System software,Web,Programming Language,php;interpreter;scripting;,
PHP-DI,PHP-DI,https://github.com/PHP-DI/PHP-DI,80,1552,214,59,1619,17,81,PHP,41397,36,604,640,3,248,251,Other,PHP,System software,Web,Container,,php;dependency-injection;ioc;psr-11;container-interop
phpmyadmin,phpmyadmin,https://github.com/phpmyadmin/phpmyadmin,265,3671,2035,286,114378,10,448,PHP,601946,466,14347,14813,19,2949,2968,Other,MySQL;MariaDB,Software Tool,Web,Interface,,php;mysql;web-app;mariadb;phpmyadmin
postgres,postgres,https://github.com/postgres/postgres,405,4641,1575,31,46146,31,465,C,419872,0,34,34,0,34,34,Other,PostgresSQL,System software,Web,Database,postgres;sql;object-relational;DBMS;,
PrestaShop,PrestaShop,https://github.com/PrestaShop/PrestaShop,444,3366,3020,296,49962,9,98,PHP,399215,1288,10651,11939,368,9739,10107,OSL-3.0,PHP,Web libraries and frameworks,Web,Framework,,prestashop;ecommerce;ecommerce-platform;cms;php;php-framework;ecommerce-framework
Pylons,pyramid,https://github.com/Pylons/pyramid,176,3013,837,258,11187,32,137,Python,23200,73,3369,3442,2,2483,2485,ZPL-2.0,Python,Web libraries and frameworks,Web,Framework,python;web-framework;wsgi;pylons;pyramid,
realm,realm-cocoa,https://github.com/realm/realm-cocoa,436,12823,1649,100,10778,143,223,Objective-C,53277,408,5607,6015,12,2401,2413,Apache-2.0,iPhone;iPad,System software,Mobile,Database,,ios;database;swift;objective-c;sync;mobile-database;threadsafe;realtime;mobile
reverse-shell,routersploit,https://github.com/reverse-shell/routersploit,461,6548,1169,52,767,3,10,Python,1746,50,510,560,4,264,268,BSD,Linux,Non-web libraries and frameworks,Embedded,Framework,,python;security;infosec;router-exploitation-framework;routersploit-framework;exploits;embedded;router;routersploit;scanner;creds;dictionary-attack;bruteforce
rs,SDWebImage,https://github.com/rs/SDWebImage,863,20897,5325,220,1658,3,58,Objective-C,10553,28,2539,2567,15,893,908,MIT,iOS,Web libraries and frameworks,Web,Library,,macos;ios;watchos;tvos;image;jpeg;png;gif;webp;cache;objective-c;swift;cocoapods;carthage
rubinius,rubinius,https://github.com/rubinius/rubinius,104,2804,599,327,25567,7,177,C,167006,213,3588,3801,5,1257,1262,MPL-2.0,*,System software,Web,Platform,programming-languages;building,
scala,scala-dist,https://github.com/scala/scala-dist,50,282,253,44,1837,8,58,Scala,35315,5,195,200,0,165,165,BSD,Scala,System software,Web,Package,scala;distribution,
scalikejdbc,scalikejdbc,https://github.com/scalikejdbc/scalikejdbc,78,961,190,75,2383,16,143,Scala,5394,23,950,973,1,596,597,Apache-2.0,Scala,Web libraries and frameworks,Web,Library,sql-based-db-access,scala;database;postgresql;mysql;h2;jdbc
schematics,schematics,https://github.com/schematics/schematics,71,2096,263,87,1381,4,11,Python,2103,81,497,578,8,274,282,BSD,Python,Web libraries and frameworks,Web,Library,,python;validation;datastructures;types;schema;serialization;deserialization
slimphp,Slim,https://github.com/slimphp/Slim,599,9431,1830,192,3160,3,84,PHP,5721,36,2515,2551,11,1161,1172,MIT,PHP,Web libraries and frameworks,Web,Framework,php;framework;web-applications;apis,
splitbrain,dokuwiki,https://github.com/splitbrain/dokuwiki,176,2328,614,252,9906,47,114,PHP,34728,351,1479,1830,78,898,976,GPL-2.0,*,Application software,Web,Content Management Sys,,wiki-engine;php
spring-projects,spring-security-oauth,https://github.com/spring-projects/spring-security-oauth,421,3188,3076,83,1245,7,58,Java,6061,639,911,1550,97,275,372,Apache-2.0,Java,Web libraries and frameworks,Web,Framework,spring;security;oauth-1a;oauth-2;,
spring-projects,spring-framework,https://github.com/spring-projects/spring-framework,3446,25672,16366,326,17647,14,142,Java,117730,176,1874,2050,176,1874,2050,Apache-2.0,Java;Groovy;Kotlin,Web libraries and frameworks,Web,Framework,mvc,framework;spring;spring-framework
stevedekorte,io,https://github.com/stevedekorte/io,142,1979,259,119,2628,1,9,C,26124,56,369,425,3,182,185,BSD-3-Clause,Concurrency,Software Tool,Cross-Platform,Programming Language,dynamic-prototype-based-language;message-passing-object-to-object,
technoweenie,restful-authentication,https://github.com/technoweenie/restful-authentication,16,1590,279,24,223,5,0,Ruby,1208,27,6,33,4,2,6,MIT,Ruby on Rails,Web libraries and frameworks,Web,Plug-In,plug-in;manage-user-authentication,
timburks,nu,https://github.com/timburks/nu,78,2022,248,23,833,1,5,Objective-C,4348,17,76,93,1,45,46,Apache-2.0,Scripting,Software Tool,Cross-Platform,Programming Language,scripting-language,
toretore,barby,https://github.com/toretore/barby,14,670,137,21,307,3,12,Ruby,818,9,85,94,4,32,36,MIT,Ruby,Non-web libraries and frameworks,Cross-Platform,Library,barcodes;library;ruby;symbologies-variety,
tornadoweb,tornado,https://github.com/tornadoweb/tornado,1086,17073,4824,299,3986,20,54,Python,8451,151,2404,2555,12,1164,1176,Apache-2.0,HTTP,Web libraries and frameworks,Web,Framework,python;asynchronous,
travis,cosmo,https://github.com/travis/cosmo,3,9,3,0,4003,43,0,Java,12877,0,0,0,0,0,0,None,Apache Tomcat,System software,Web,Server,calendar;e-mail-and-pim-client;web-applications,
unbit,uwsgi,https://github.com/unbit/uwsgi,125,2316,518,166,6556,9,118,C,29576,562,1391,1953,72,631,703,GPL-2.0,C;C++;Objective-C;Python,System software,Web,Container,full-stack;building-hosting-services;pluggable-architecture,
WordPress,WordPress,https://github.com/WordPress/WordPress,1445,11841,7202,48,38753,32,338,PHP,210529,0,378,378,0,378,378,GPL-2.0,PHP,Application software,Web,Content Management Sys,cms;website;blog;app;beautiful-designs;powerful-features;freedom-to-build,
yigit,android-priority-jobqueue,https://github.com/yigit/android-priority-jobqueue,146,3295,382,15,376,56,3,Java,14635,131,332,463,4,81,85,MIT,Native Android,Non-web libraries and frameworks,Mobile,Framework,job-queue;android;easily-schedule-jobs;improving-ux;application-stability;background-tasks;thread,
zxing,zxing,https://github.com/zxing/zxing,1646,21090,7869,91,3485,2,26,Java,239617,7,1104,1111,0,246,246,Apache-2.0,Native Android,Non-web libraries and frameworks,Mobile,Library,,java;android;barcode;barcode-scanner;zxing;qr-code;datamatrix;upc
